group,panel,cip_res,cro_res,nda_res,threshold_price,threshold_lower,threshold_upper,strategy
MSM,cip+cro,0.5,0.075,0.05,17.341047501325484,6.386548423967303,30.478209913461328,CIP+CRO
MSM,cip+cro+nda,0.5,0.075,0.05,18.461375392440733,7.456032274363739,31.36843463784474,CIP+CRO+NDA
MSM,cip,0.5,0.1,0.05,14.180635743733385,1.6862606241861282,28.661284508115365,CIP
MSM,cip+cro,0.5,0.1,0.05,24.246125648839595,10.723518513228191,38.58213734637217,CIP+CRO
MSM,cip+cro+nda,0.5,0.1,0.05,25.095631194991245,10.859429887729622,40.67491582324562,CIP+CRO+NDA
MSM,cip,0.5,0.125,0.05,17.640932786978958,5.06869429944894,33.24003399669067,CIP
MSM,cip+cro,0.5,0.125,0.05,31.08454341370886,16.38033626155325,48.022740567976165,CIP+CRO
MSM,cip+cro+nda,0.5,0.125,0.05,31.552100797101428,15.743525321843915,49.39922223340646,CIP+CRO+NDA
MSM,cip,0.5,0.15,0.05,21.326684242514443,7.003355201594554,37.5555091741739,CIP
MSM,cip+cro,0.5,0.15,0.05,36.77300581876765,20.012469396447464,55.47126376708137,CIP+CRO
MSM,cip+cro+nda,0.5,0.15,0.05,38.142050306299346,20.920951908295816,57.355362418034716,CIP+CRO+NDA
MSM,cip,0.7,0,0.05,-1.6334641154471696,-10.169583782727111,6.530455184242374,CIP
MSM,cip+cro,0.7,0,0.05,-2.797792871021653,-10.172457678756116,5.257366763664202,CIP+CRO
MSM,cip+cro+nda,0.7,0,0.05,-2.4901222233796108,-10.277628391486768,5.326635856170972,CIP+CRO+NDA
MSM,cip,0.7,0.025,0.05,0.9044986761487374,-8.414125178611101,11.210351779453523,CIP
MSM,cip+cro,0.7,0.025,0.05,3.397844559448759,-5.036917482977342,13.57170911799185,CIP+CRO
MSM,cip+cro+nda,0.7,0.025,0.05,4.274083181404602,-3.935584533882342,14.374850013716262,CIP+CRO+NDA
MSM,cip,0.7,0.05,0.05,2.999762046926706,-7.899655790712768,14.479261520612548,CIP
MSM,cip+cro,0.7,0.05,0.05,9.470161928127265,-0.336878463943556,20.979211405004246,CIP+CRO
MSM,cip+cro+nda,0.7,0.05,0.05,10.23173541910865,0.14328651585842356,21.997922427324198,CIP+CRO+NDA
MSM,cip,0.7,0.075,0.05,5.464286742716307,-5.9668878214135805,19.13552448575021,CIP
MSM,cip+cro,0.7,0.075,0.05,15.875007802660534,5.0529793728943595,29.051024914574537,CIP+CRO
MSM,cip+cro+nda,0.7,0.075,0.05,16.771516197639404,5.2287506439151015,30.87984102213138,CIP+CRO+NDA
MSM,cip,0.7,0.1,0.05,7.722863366859559,-4.225495879846715,20.782621620853124,CIP
MSM,cip+cro,0.7,0.1,0.05,21.13918707005066,8.384495744393986,35.46474171718154,CIP+CRO
MSM,cip+cro+nda,0.7,0.1,0.05,22.471017279061375,9.162637104547143,37.58675782891095,CIP+CRO+NDA
MSM,cip,0.7,0.125,0.05,9.423646412248178,-4.5152897491125605,24.372932252488447,CIP
MSM,cip+cro,0.7,0.125,0.05,27.75489359682045,13.016488208036394,46.1698294274405,CIP+CRO
MSM,cip+cro+nda,0.7,0.125,0.05,29.240451406437714,14.494053014079311,45.60660405353424,CIP+CRO+NDA
MSM,cip,0.7,0.15,0.05,12.020126410884771,-2.149805850033559,29.20684449862311,CIP
MSM,cip+cro,0.7,0.15,0.05,34.40582773651868,16.267670826284988,54.16272514025266,CIP+CRO
MSM,cip+cro+nda,0.7,0.15,0.05,35.838928866933664,17.973608054732747,54.66364589964521,CIP+CRO+NDA
MSW,cip,0.1,0,0.05,1.5337808203073868,-127.02229611594282,134.24478433275002,CIP
MSW,cip+cro,0.1,0,0.05,-6.009971847244459,-156.59508358766544,134.3182194226119,CIP+CRO
MSW,cip+cro+nda,0.1,0,0.05,-0.43371821250729353,-149.39168250934063,148.4349148823594,CIP+CRO+NDA
MSW,cip,0.1,0.025,0.05,6.319004589540576,-131.6839026157033,153.19272965218468,CIP
