Group,Strategy,cip_res,cro_res,nda_res,cost_with_test_mean,cost_with_test_lower,cost_with_test_upper,cost_without_test_mean,cost_without_test_lower,cost_without_test_upper,cost_with_test_mean_ng,cost_with_test_lower_ng,cost_with_test_upper_ng,cost_without_test_mean_ng,cost_without_test_lower_ng,cost_without_test_upper_ng,median,low,high,cost_with_test_ng_init_visit_mean,cost_with_test_ng_init_visit_lower,cost_with_test_ng_init_visit_upper,cost_with_test_ng_init_diag_mean,cost_with_test_ng_init_diag_lower,cost_with_test_ng_init_diag_upper,cost_with_test_ng_cip_mean,cost_with_test_ng_cip_lower,cost_with_test_ng_cip_upper,cost_with_test_ng_cro_mean,cost_with_test_ng_cro_lower,cost_with_test_ng_cro_upper,cost_with_test_ng_nda_mean,cost_with_test_ng_nda_lower,cost_with_test_ng_nda_upper,cost_with_test_ng_follow_visit_mean,cost_with_test_ng_follow_visit_lower,cost_with_test_ng_follow_visit_upper,cost_with_test_ng_follow_diag_mean,cost_with_test_ng_follow_diag_lower,cost_with_test_ng_follow_diag_upper,cost_with_test_ng_follow_drugs_mean,cost_with_test_ng_follow_drugs_lower,cost_with_test_ng_follow_drugs_upper,cost_with_test_ng_partner_total_mean,cost_with_test_ng_partner_total_lower,cost_with_test_ng_partner_total_upper,cost_with_test_ng_complications_mean,cost_with_test_ng_complications_lower,cost_with_test_ng_complications_upper,cost_without_test_ng_init_visit_mean,cost_without_test_ng_init_visit_lower,cost_without_test_ng_init_visit_upper,cost_without_test_ng_init_diag_mean,cost_without_test_ng_init_diag_lower,cost_without_test_ng_init_diag_upper,cost_without_test_ng_cip_mean,cost_without_test_ng_cip_lower,cost_without_test_ng_cip_upper,cost_without_test_ng_cro_mean,cost_without_test_ng_cro_lower,cost_without_test_ng_cro_upper,cost_without_test_ng_nda_mean,cost_without_test_ng_nda_lower,cost_without_test_ng_nda_upper,cost_without_test_ng_follow_visit_mean,cost_without_test_ng_follow_visit_lower,cost_without_test_ng_follow_visit_upper,cost_without_test_ng_follow_diag_mean,cost_without_test_ng_follow_diag_lower,cost_without_test_ng_follow_diag_upper,cost_without_test_ng_follow_drugs_mean,cost_without_test_ng_follow_drugs_lower,cost_without_test_ng_follow_drugs_upper,cost_without_test_ng_partner_total_mean,cost_without_test_ng_partner_total_lower,cost_without_test_ng_partner_total_upper,cost_without_test_ng_complications_mean,cost_without_test_ng_complications_lower,cost_without_test_ng_complications_upper
MSM,CIP,0.3,0.075,0,303.6580361,301.8489488,306.1864724,304.3245667,302.459239,307.0463503,368.2326623,328.2869077,424.7601869,382.850494,342.0672845,440.7599869,14.61783167,13.78037679,15.9998,167.1,167.1,167.1,133.49,133.49,133.49,0.381597736,0.155710318,0.613176803,0.32471609,0.286729023,0.362277857,0,0,0,1.88098216,0.710342447,3.191185698,2.326509568,0.878593394,3.947046506,0.670634685,0.232426326,1.167864074,56.79043796,20.21538265,107.9593003,60.2341738,20.34163927,117.8094084,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043409192,0.984845535,1.086928115,0,0,0,5.417160894,2.805089407,8.218370068,6.70026379,3.469499863,10.16496435,2.16374856,1.120422354,3.282621053,60.34475758,24.45891901,111.9905277,61.90358583,20.85828947,120.8821224
MSM,CIP,0.3,0.1,0,303.7542981,301.9573351,306.083426,304.6272742,302.76438,307.0122888,370.2381964,330.2432729,421.1185848,389.5062615,347.9572773,442.5807922,19.26806502,17.71400439,21.46220738,167.1,167.1,167.1,133.49,133.49,133.49,0.378719729,0.146788141,0.613005146,0.324551017,0.291185299,0.360435233,0,0,0,2.505688615,1.207459542,3.96339342,3.099183322,1.493457109,4.902158518,0.923299089,0.431266405,1.447136771,56.96899729,21.62853574,102.1596862,60.01498105,20.53735723,109.9310116,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043786907,0.979839674,1.08640811,0,0,0,7.211236042,3.733853326,10.55668341,8.919281646,4.618249804,13.05712807,2.880346718,1.491393723,4.216601457,61.65524023,25.80600167,107.0023105,62.21061425,21.17317255,113.0355613
MSM,CIP,0.3,0.125,0,303.8691514,301.9738097,306.5319706,304.9622653,302.947873,307.723448,372.6989675,331.6543809,430.9236336,396.744631,352.7922268,458.2056397,24.0456635,21.1378458,27.28200608,167.1,167.1,167.1,133.49,133.49,133.49,0.382455433,0.152247092,0.609604961,0.324047408,0.288443941,0.359015143,0,0,0,2.984417774,1.39550184,4.797342717,3.691303754,1.726038903,5.933636148,1.117255032,0.523668232,1.795625472,57.77776845,20.5985993,111.5204895,60.83649446,19.9051947,120.1117708,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.042791834,0.98292361,1.085879243,0,0,0,8.882168786,4.641375385,13.08195453,10.98598972,5.740726561,16.18053219,3.547758742,1.853880566,5.225257441,63.57479717,25.92085599,114.3763935,63.65154101,20.80115034,124.5236116
MSM,CIP,0.3,0.15,0,303.955456,302.1189282,306.4567396,305.2938867,303.2685921,308.0721068,374.7175208,333.6673528,429.7571444,404.2070277,359.6965014,465.1422019,29.48950694,26.02914859,35.3850575,167.1,167.1,167.1,133.49,133.49,133.49,0.374737338,0.147000263,0.617394498,0.324295233,0.287818038,0.362984489,0,0,0,3.63134116,1.846942247,5.582837657,4.491456717,2.284406999,6.905182573,1.377039904,0.698574065,2.149088377,57.94551596,21.62997131,107.2497087,60.54796758,19.73203126,115.1664869,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043037436,0.981444852,1.086526816,0,0,0,10.88801829,5.901105786,15.35511518,13.46694257,7.298835348,18.99211122,4.348944834,2.357048165,6.133214243,65.20846816,28.5690637,115.8194391,63.90336592,20.8858766,121.7931486
MSM,CIP,0.5,0,0,303.3668705,301.5821482,305.6903488,303.3254947,301.5175587,305.6579623,361.7264599,322.2148189,413.6884969,360.8064133,320.6405004,412.1577244,-0.920046574,-1.574318451,-1.530772442,167.1,167.1,167.1,133.49,133.49,133.49,0.270729698,0.108201195,0.442772857,0.526070929,0.483064693,0.570367623,0,0,0,0.359144635,0,0.868528811,0.444211246,0,1.07424761,0.003184619,0,0.007701446,54.77092912,17.94552526,101.8324677,59.03060409,18.63164812,111.1520811,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.041847626,0.981436889,1.084383842,0,0,0,0,0,0,0,0,0,0,0,0,54.55863098,17.57405345,101.3740828,58.86250436,18.68331607,110.171885
MSM,CIP,0.5,0.025,0,303.5780031,301.766597,305.9939031,303.6874773,301.8749902,306.0229704,366.2331754,325.7281269,418.2990635,368.7321581,328.579409,419.4494322,2.49898274,2.851282053,1.150368678,167.1,167.1,167.1,133.49,133.49,133.49,0.268517541,0.103312747,0.439309415,0.526285811,0.483777341,0.568087252,0,0,0,1.270563073,0.417255089,2.279077597,1.571507275,0.51608568,2.818897463,0.36972384,0.111451179,0.722769093,56.38867038,19.95412643,104.3062663,60.29854341,20.33982501,112.0224741,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.041740288,0.980251797,1.083575153,0,0,0,1.781031964,0.689851907,3.032232758,2.202885277,0.853249487,3.750444144,0.711388386,0.27554398,1.211149049,56.95913183,20.54707815,103.974039,60.50953356,20.58954069,112.0401348
MSM,CIP,0.5,0.05,0,303.6669836,301.8186728,306.1980276,303.9424993,302.0956056,306.4191359,368.2643658,327.7048774,423.316347,374.4230562,334.1238228,432.1564096,6.158690356,6.418945465,8.840062629,167.1,167.1,167.1,133.49,133.49,133.49,0.272652074,0.105048668,0.447224054,0.526887561,0.479658053,0.568598403,0,0,0,2.160755046,0.956434347,3.609641346,2.67254916,1.182974357,4.464617108,0.727629675,0.282732727,1.28145245,56.01556639,19.47170345,106.1398714,59.23745238,19.05141105,113.7741455,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.042640481,0.979011208,1.086400929,0,0,0,3.570180723,1.785789925,5.576803836,4.415809885,2.208770204,6.897719587,1.426018822,0.713288834,2.227513914,57.50622565,21.05973203,108.4596861,59.91239114,19.41868067,116.6831148
MSM,CIP,0.5,0.075,0,303.8070404,301.9955932,306.1971605,304.2333035,302.3563944,306.7073963,371.3555553,331.6920344,424.7265513,380.8740175,340.4324828,434.707571,9.51846223,8.740448412,9.981019747,167.1,167.1,167.1,133.49,133.49,133.49,0.272770146,0.107016209,0.445018409,0.52664537,0.482711318,0.571417256,0,0,0,3.054577416,1.362740177,4.874516646,3.778081333,1.685517348,6.02908941,1.094419023,0.487401245,1.7738798,56.49224458,20.35579874,103.0430099,59.16462459,20.00469544,112.2977299,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.04439942,0.983856453,1.087305408,0,0,0,5.322098285,2.738109867,8.134998442,6.582684753,3.386655622,10.06184541,2.125778193,1.093669064,3.249320356,58.79295822,23.38467921,105.9109886,60.27258222,20.74419363,113.9240978
MSM,CIP,0.5,0.1,0,304.0221608,302.1201988,306.6725039,304.6114933,302.6367212,307.2936364,376.1440651,334.6717374,432.013728,389.1598876,346.0644489,445.4570361,13.01582247,11.39271147,13.44330808,167.1,167.1,167.1,133.49,133.49,133.49,0.271560043,0.104917581,0.444158121,0.527840132,0.480537218,0.569378071,0,0,0,4.008338086,1.857614675,6.113273785,4.957748728,2.297607287,7.56125723,1.47042762,0.660724701,2.251349628,58.28855758,21.59838401,109.1483091,60.53925508,19.90788416,116.9671671,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043811894,0.981666456,1.086692172,0,0,0,7.158363696,3.898826622,10.39787638,8.853886012,4.822298497,12.86070619,2.85922819,1.557288154,4.153169989,61.38599275,24.36936183,112.9152982,61.97783296,20.13438864,120.4086985
MSM,CIP,0.5,0.125,0,304.1533628,302.277272,306.8062772,304.9240449,302.8520209,307.5280768,379.1292938,337.6448226,436.5120782,395.8235354,350.1792181,452.9034576,16.69424156,12.53439545,16.39137945,167.1,167.1,167.1,133.49,133.49,133.49,0.273636736,0.106245161,0.443442911,0.527687435,0.481311082,0.571632303,0,0,0,4.851530009,2.492247617,7.471635282,6.000658183,3.082558704,9.241358769,1.815751409,0.922665436,2.771522567,58.64190709,22.51022998,110.0574168,60.62220732,20.784595,118.7713655,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043221349,0.985575226,1.084959953,0,0,0,8.917410776,4.892949677,13.14040851,11.02957909,6.051888468,16.25283152,3.561835268,1.954365584,5.248605414,62.71274119,26.04345236,112.5504194,62.5575602,20.77876802,122.2993281
