group,panel,cip_res,cro_res,nda_res,threshold_price,threshold_lower,threshold_upper,strategy
MSM,cip,0.1,0,0,0.3794225013433575,-0.47649835998962475,1.010353151770028,CIP
MSM,cip+cro,0.1,0,0,0.23328039423072744,-0.6248414398434453,0.883731556190209,CIP+CRO
MSM,cip+cro+nda,0.1,0,0,0.22241699381370508,-0.6783180090412317,0.8905030860304074,CIP+CRO+NDA
MSM,cip,0.1,0,0.05,0.3842647004742606,-0.42630674663578105,0.9982665974182892,CIP
MSM,cip+cro,0.1,0,0.05,0.20924015629034431,-0.7357567263772609,0.8720431510240428,CIP+CRO
MSM,cip+cro+nda,0.1,0,0.05,0.23497458739631585,-0.7294799217350942,0.9037945788214018,CIP+CRO+NDA
MSM,cip,0.1,0.025,0,6.083545989004334,2.9917469413175115,9.8957776387891645,CIP
MSM,cip+cro,0.1,0.025,0,6.485959522612815,3.197573665611439,10.27163883014661,CIP+CRO
MSM,cip+cro+nda,0.1,0.025,0,6.519649623473191,3.1306581300649055,10.481118280299262,CIP+CRO+NDA
MSM,cip,0.1,0.025,0.05,6.1926383846670365,3.113503351547507,10.105308135953209,CIP
MSM,cip+cro,0.1,0.025,0.05,6.5061026898994925,3.287859533579365,10.817077825177435,CIP+CRO
MSM,cip+cro+nda,0.1,0.025,0.05,6.501884807677351,3.1863794060371484,10.575430282415324,CIP+CRO+NDA
MSM,cip,0.1,0.05,0,11.623013630133755,6.799664630731128,17.23812288433176,CIP
MSM,cip+cro,0.1,0.05,0,12.862916761883982,7.545438564698939,18.503802690874426,CIP+CRO
MSM,cip+cro+nda,0.1,0.05,0,12.779194139539781,7.4372370976752,18.860106800895473,CIP+CRO+NDA
MSM,cip,0.1,0.05,0.05,11.945627538162986,6.815552380972218,17.27135084461558,CIP
MSM,cip+cro,0.1,0.05,0.05,12.750244934543034,7.359619541938135,18.946878840476725,CIP+CRO
MSM,cip+cro+nda,0.1,0.05,0.05,12.86095414292805,7.296043213864577,18.65267412751861,CIP+CRO+NDA
MSM,cip,0.1,0.075,0,17.3960272537043,10.639525107165012,24.752791511398303,CIP
MSM,cip+cro,0.1,0.075,0,19.1938132128708,12.192198833183422,27.275925977599954,CIP+CRO
MSM,cip+cro+nda,0.1,0.075,0,19.22625938092755,12.053383153718988,27.14765942120287,CIP+CRO+NDA
MSM,cip,0.1,0.075,0.05,17.47106550073116,10.781898458595718,24.264952292814762,CIP
MSM,cip+cro,0.1,0.075,0.05,18.747349912738173,11.117148787051443,27.21690730110903,CIP+CRO
MSM,cip+cro+nda,0.1,0.075,0.05,18.93787846965343,11.152917588824309,26.483224948425082,CIP+CRO+NDA
MSM,cip,0.1,0.1,0,23.07027212235771,14.322937273786343,31.952315803038456,CIP
MSM,cip+cro,0.1,0.1,0,25.33929101179161,16.05732657852172,34.74346104439014,CIP+CRO
MSM,cip+cro+nda,0.1,0.1,0,25.1592644272534,15.789366116381823,35.068276324180324,CIP+CRO+NDA
MSM,cip,0.1,0.1,0.05,23.517866591046946,14.85265997895379,32.3841664172385,CIP
MSM,cip+cro,0.1,0.1,0.05,25.3100621319766,16.19058174927195,35.57523365604587,CIP+CRO
MSM,cip+cro+nda,0.1,0.1,0.05,25.683977225712635,16.32620338760922,34.94341186453873,CIP+CRO+NDA
MSM,cip,0.1,0.125,0,29.124579141514804,19.33016828314064,39.43454853969453,CIP
MSM,cip+cro,0.1,0.125,0,31.670719761494535,21.104699821887404,42.22745205845084,CIP+CRO
MSM,cip+cro+nda,0.1,0.125,0,31.691458387277052,20.56279333889885,42.863397634042485,CIP+CRO+NDA
MSM,cip,0.1,0.125,0.05,29.10843768142444,18.771495297880303,39.881388901894304,CIP
MSM,cip+cro,0.1,0.125,0.05,31.494257361646767,19.968285989197753,42.53703282462462,CIP+CRO
MSM,cip+cro+nda,0.1,0.125,0.05,31.826792351066434,19.946065362427078,42.67580077206734,CIP+CRO+NDA
MSM,cip,0.1,0.15,0,34.46907639653566,21.06806528206038,46.78459659736207,CIP
MSM,cip+cro,0.1,0.15,0,37.733870227506685,24.047519925630535,50.96066389468591,CIP+CRO
MSM,cip+cro+nda,0.1,0.15,0,37.783142002948196,24.167313350384028,51.045157903589256,CIP+CRO+NDA
MSM,cip,0.1,0.15,0.05,34.55154742364976,22.7327042506003,46.82180621504553,CIP
MSM,cip+cro,0.1,0.15,0.05,37.74900854414509,24.301875673965835,50.93066365659862,CIP+CRO
MSM,cip+cro+nda,0.1,0.15,0.05,37.99216967942249,23.714129353269023,51.49801391465633,CIP+CRO+NDA
MSM,cip,0.3,0,0,-0.20853212605365704,-1.385287285247037,0.6331845255952449,CIP
MSM,cip+cro,0.3,0,0,-0.6027843203025426,-1.894933950345651,0.31495172398406435,CIP+CRO
MSM,cip+cro+nda,0.3,0,0,-0.6080831350937417,-1.9081916793631442,0.3020218596701351,CIP+CRO+NDA
MSM,cip,0.3,0,0.05,-0.21199972797139724,-1.4181263781615607,0.6511198343510771,CIP
