group,panel,cip_res,cro_res,nda_res,cost_with_test_mean,cost_with_test_lower,cost_with_test_upper,cost_without_test_mean,cost_without_test_lower,cost_without_test_upper,cost_with_test_mean_ng,cost_with_test_lower_ng,cost_with_test_upper_ng,cost_without_test_mean_ng,cost_without_test_lower_ng,cost_without_test_upper_ng,cost_with_test_ng_init_visit_mean,cost_with_test_ng_init_visit_lower,cost_with_test_ng_init_visit_upper,cost_with_test_ng_init_diag_mean,cost_with_test_ng_init_diag_lower,cost_with_test_ng_init_diag_upper,cost_with_test_ng_cip_mean,cost_with_test_ng_cip_lower,cost_with_test_ng_cip_upper,cost_with_test_ng_cro_mean,cost_with_test_ng_cro_lower,cost_with_test_ng_cro_upper,cost_with_test_ng_nda_mean,cost_with_test_ng_nda_lower,cost_with_test_ng_nda_upper,cost_with_test_ng_follow_visit_mean,cost_with_test_ng_follow_visit_lower,cost_with_test_ng_follow_visit_upper,cost_with_test_ng_follow_diag_mean,cost_with_test_ng_follow_diag_lower,cost_with_test_ng_follow_diag_upper,cost_with_test_ng_follow_drugs_mean,cost_with_test_ng_follow_drugs_lower,cost_with_test_ng_follow_drugs_upper,cost_with_test_ng_partner_total_mean,cost_with_test_ng_partner_total_lower,cost_with_test_ng_partner_total_upper,cost_with_test_ng_complications_mean,cost_with_test_ng_complications_lower,cost_with_test_ng_complications_upper,cost_without_test_ng_init_visit_mean,cost_without_test_ng_init_visit_lower,cost_without_test_ng_init_visit_upper,cost_without_test_ng_init_diag_mean,cost_without_test_ng_init_diag_lower,cost_without_test_ng_init_diag_upper,cost_without_test_ng_cip_mean,cost_without_test_ng_cip_lower,cost_without_test_ng_cip_upper,cost_without_test_ng_cro_mean,cost_without_test_ng_cro_lower,cost_without_test_ng_cro_upper,cost_without_test_ng_nda_mean,cost_without_test_ng_nda_lower,cost_without_test_ng_nda_upper,cost_without_test_ng_follow_visit_mean,cost_without_test_ng_follow_visit_lower,cost_without_test_ng_follow_visit_upper,cost_without_test_ng_follow_diag_mean,cost_without_test_ng_follow_diag_lower,cost_without_test_ng_follow_diag_upper,cost_without_test_ng_follow_drugs_mean,cost_without_test_ng_follow_drugs_lower,cost_without_test_ng_follow_drugs_upper,cost_without_test_ng_partner_total_mean,cost_without_test_ng_partner_total_lower,cost_without_test_ng_partner_total_upper,cost_without_test_ng_complications_mean,cost_without_test_ng_complications_lower,cost_without_test_ng_complications_upper,strategy
MSM,cip+cro,0.1,0.075,0,303.37152929596783,301.554963515278,305.6913911575106,304.34839588214714,302.3518587407966,306.8838018778533,361.90644494908247,321.6459012719191,413.95091304184166,383.2605557647208,339.57469540322086,437.23702454972374,167.1,167.1,167.1,133.49,133.49,133.49,0.4858040037276058,0.19254313864094727,0.7871094388073676,0.11078463136413974,0.0893096514242878,0.13208906203399948,0.5162932664666093,0.21504798863518215,0.8701281162471183,0.08121543673146518,0,0.28811788065933924,0.10045203761889099,0,0.356361171612758,0.004812224232452278,0,0.056307413808516074,55.392288211528786,18.415917564980795,101.50279972980385,59.62136448606221,19.48333256497717,111.6983643463818,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0435063409840564,0.9815846710526319,1.084743986148022,0,0,0,5.422761977543825,2.8253372070339684,8.240827381395691,6.707191540047216,3.494543535429535,10.192740880823575,2.1659857715065605,1.1285098286603163,3.29159106142982,60.64995665979553,23.337816469237122,107.60219936307067,62.34024245854151,20.503822721379773,115.85672469757876,CIP+CRO
MSM,cip+cro+nda,0.1,0.075,0,303.33805137292796,301.5329159447893,305.8209386931387,304.303944629567,302.4659946337257,306.8957859102016,361.09543396514914,321.40205628229074,415.996896376008,382.3733428141273,340.90292314462334,439.1368114290388,167.1,167.1,167.1,133.49,133.49,133.49,0.4950883891703912,0.19345172062238547,0.7881707109515023,0.11110019208898378,0.08895033860045153,0.13121596413480363,0.49591258774433306,0.21321393943109712,0.8233391320957271,0.07827527916381125,0,0.37619688399739915,0.09681547749586919,0,0.4653024728336585,0.01551219707051261,0,0.10711275300974726,54.66923478439013,17.744076055617413,105.6835831458921,58.81438256634482,19.22561127736477,113.2009352329561,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0435852341895184,0.9865220387334783,1.0876590148953331,0,0,0,5.450334816585774,2.8741271827138832,8.192532376516938,6.741295252052847,3.554889852209539,10.13300677309571,2.176999048005182,1.1479977563164585,3.2723008374009317,59.858012738942165,23.647815789266996,109.26852341052809,61.29279553370612,20.16812016039934,115.81219479826746,CIP+CRO+NDA
MSM,cip,0.1,0.1,0,303.4213379230772,301.6652930913305,305.6536604867402,304.5950887492076,302.6234740131527,307.087129948722,363.0268630414456,324.05539530823705,413.8125515768758,388.7585441105405,345.79838867016076,443.10061585911717,167.1,167.1,167.1,133.49,133.49,133.49,0.47848171635920106,0.18997085082437473,0.7857698868820218,0.12233696808298966,0.09850552471721824,0.14761975005520747,0,0,0,0.921364794779715,0.2712094008013598,1.8468180918540695,1.1395982679001702,0.33544776742350535,2.2842534363457823,0.3436727409926835,0.10671908952073453,0.7035755352568311,54.69551787953458,19.47163409487244,102.7838485103069,58.436956062419036,19.76119160038003,109.18436164911344,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0448591046853846,0.9892426339535878,1.085632509080329,0,0,0,7.206870001016599,3.786800636094241,10.56559773635732,8.913881468744208,4.68373815694577,13.068153838634,2.8786028123568452,1.5125421936787977,4.220162061174835,61.011098844270826,24.787718510534724,107.98855907022062,61.390631314034046,20.879535386666095,115.31083246481553,CIP
MSM,cip+cro,0.1,0.1,0,303.3063066454317,301.5009262605375,305.659931193127,304.6060371415597,302.64222064573283,307.2248710176003,360.3982435808857,320.5056503753549,412.85517395127977,388.97547835873644,345.7440850253746,445.32703724936056,167.1,167.1,167.1,133.49,133.49,133.49,0.48100125366139407,0.19498612012849958,0.782638782834982,0.10754002848711727,0.08603312991014245,0.12913081962577172,0.6486566920166583,0.2889266107107976,1.0360387980966945,0.08282523500623193,0,0.28977691273979683,0.10244313097950872,0,0.35841316024526815,0.006935833075949622,0,0.05749204979608771,53.91337078314888,17.372318708633497,102.69958880299326,57.93392054797168,18.10421775200246,110.63215697098553,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0438630263629987,0.9836624101603297,1.0864882943143814,0,0,0,7.280872799734084,4.020556093175217,10.733771577708886,9.005412490676052,4.972860679871538,13.276161154950197,2.9081613675243982,1.605909926975244,4.2873348688723745,60.97009249019006,24.616442325384785,110.37412360292954,61.39418984428824,18.88599591318422,118.77342679079864,CIP+CRO
MSM,cip+cro+nda,0.1,0.1,0,303.3413216070993,301.6211236266359,305.6789421029037,304.6142370738708,302.6979657536687,307.0744580150407,361.09818143395535,323.64448440941277,412.37135487768734,389.03709414388453,347.5996542081034,444.27041892728573,167.1,167.1,167.1,133.49,133.49,133.49,0.47447649595266206,0.18973881495858622,0.7849782651146415,0.10750001747610315,0.08607180059523807,0.1321522649037709,0.6350296736179947,0.28310971201156737,1.0271105704402883,0.08137560602801439,0,0.29389313151637114,0.10065014444254256,0,0.3635043421687138,0.018356510217663723,0,0.11086626434239091,54.560826171936185,19.826992046514324,102.4078954480154,58.6641347206462,20.97296724448636,110.35534446666578,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043109520533569,0.9821159442826409,1.086647542292619,0,0,0,7.16925180194635,3.697119923074714,10.504444891443171,8.867353063551313,4.5728157668130605,12.992516396725877,2.863577169654238,1.4767214902838774,4.195736096598164,61.23933366483161,25.560638804960842,109.35234566781443,62.03987181571506,21.952528753589576,116.0970598323738,CIP+CRO+NDA
MSM,cip,0.1,0.125,0,303.57578906176326,301.68338127841173,306.09888152250954,305.0567327927812,302.9469615774802,307.63121406601886,366.33369107978024,325.14859931973785,420.57545924607194,399.0440720758591,352.57386200664376,453.04284298498203,167.1,167.1,167.1,133.49,133.49,133.49,0.48398485919635137,0.18690508755530458,0.7929476798793277,0.12178557419241211,0.09978232615102006,0.14527358417349143,0,0,0,1.0977477725799973,0.3961288048045243,2.0029947124856804,1.3577591278843346,0.48995544693948484,2.477421883161512,0.41586133936604464,0.11259152368010952,0.7522948094194217,57.118555502264975,19.56995617369381,106.98659340203459,61.13204753711612,19.89183920158666,115.27667208966496,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0431994625364167,0.9781160114595832,1.0872048874598073,0,0,0,9.12586621173423,4.939369969166402,12.960679045298605,11.287409055462621,6.109303821105883,16.0305315272693,3.645097544230001,1.9729070015842816,5.176817001637073,65.13857491689666,27.343444362744503,114.50629188272052,64.9596271325064,20.792238527502228,121.34127231636097,CIP
MSM,cip+cro,0.1,0.125,0,303.3500374763924,301.6670144039752,305.709132019063,304.9791918928761,303.1524463202708,307.3722118258116,361.42412144273123,323.872067310565,413.31994504457134,397.11348510220444,356.4850803257684,450.8445752109417,167.1,167.1,167.1,133.49,133.49,133.49,0.4776887596155018,0.18825420824579447,0.7837804802534397,0.10529845099891125,0.08403078302888313,0.12658078154212243,0.7764283717293644,0.39271885521885586,1.2062500000000005,0.07774472092572161,0,0.2878200750319269,0.09615925180483698,0,0.355992828065132,0.00779645412601669,0,0.057537871984469746,54.71321796289498,20.133887981235524,102.4397774959256,58.80780916192677,21.492366254096773,110.64468661733557,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0432238646406629,0.9837030107954964,1.0855520041632378,0,0,0,9.079094987230333,4.968282380167453,13.119810312281277,11.229559649088293,6.145064394642337,16.22735445478919,3.626415955915614,1.9844553363825894,5.240377980620423,63.535684357506895,29.232586850889593,110.63683601469386,63.1935610033468,23.19495201582923,116.96175090978085,CIP+CRO
MSM,cip+cro+nda,0.1,0.125,0,303.2928045015347,301.5828039711103,305.77773029067026,304.8734267794205,302.9627206421132,307.58541234767017,360.02456806043335,321.9388261727346,415.1996088419155,394.9464430542754,352.6277067800207,454.27195249097525,167.1,167.1,167.1,133.49,133.49,133.49,0.48665488785180977,0.19006430284752662,0.7877816852850924,0.10461251065438527,0.08249161010754932,0.12498545621555418,0.7620790638770637,0.38587691668811763,1.1879146995023613,0.08417060122276383,0,0.3957322481359458,0.10410715918933168,0,0.4894649622854161,0.0244111413927492,0,0.11363959561485125,53.408951810695775,18.362911705448326,104.05810547720634,57.38518638731846,19.248101302910246,112.8758759935087,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.04326407685335,0.9859527856693423,1.0863393457131651,0,0,0,9.007510585460572,4.830600344887798,12.773909346517021,11.141019843000961,5.97477114074915,15.799523758757235,3.59782336853354,1.9294617130882736,5.102216546779444,61.82095696027363,25.308658352710065,112.14741181622125,61.4801518583007,20.13981573601825,119.49473034831988,CIP+CRO+NDA
MSM,cip,0.1,0.15,0,303.5008792167709,301.67017360320835,306.0065905962126,305.20862305244447,303.1736917235095,307.7591404118408,364.65208073257696,324.605619548184,418.8132757212364,402.3401910242398,357.24249258281316,458.844723940098,167.1,167.1,167.1,133.49,133.49,133.49,0.5051860727231196,0.19310852283217197,0.78653722287122,0.12219347918405518,0.10111971663507749,0.14437843790541344,0,0,0,1.3026483764245367,0.43489799539122104,2.37248536975932,1.611192268108412,0.5379074662599677,2.9344296996312074,0.4963631591333949,0.16776190547289724,0.912073881054567,55.14737959188547,18.073185826840014,105.2171571719132,58.714288801868655,18.457947759070716,112.71277687332837,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0448359766723732,0.9843623309547317,1.086746913975056,0,0,0,10.580586805049261,5.662078229744835,15.383206508442505,13.086693201995343,7.003191982037004,19.026856236636483,4.2261490673627025,2.2615746244387434,6.144434617527756,64.2442732702701,27.42412109152526,112.58884581400866,63.258169098044775,19.812230806234602,120.6568861180493,CIP
MSM,cip+cro,0.1,0.15,0,303.338554070722,301.51737046295085,305.77572318431487,305.24404502372056,303.2170852999034,307.7049421488016,361.07026449678665,320.7213466424939,413.3715662586358,403.24381947195485,358.4589702037288,459.02066858319404,167.1,167.1,167.1,133.49,133.49,133.49,0.47989981469667914,0.1902053480079092,0.786575245690971,0.10194304233664343,0.08167174608324831,0.12496745696732532,0.8984833886077372,0.5033416444827739,1.317415546557529,0.08040203430693092,0,0.38641801817345084,0.09944597357199345,0,0.47794457384403144,0.009141462546142471,0,0.05794594741897581,54.18177835585735,17.313539134574974,102.95207504587414,58.31111308501481,17.467336919526396,110.77665503102929,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0426375444314473,0.9815880635439302,1.0848610363678164,0,0,0,10.796411153226973,6.196375087156599,15.429615204565641,13.353637472872123,7.66404181773811,19.084257246548106,4.312354670565175,2.474986054943523,6.162971403005923,64.48400917064274,27.830078811668518,111.66719949251589,63.353034304946846,19.711950699937134,117.37396386726925,CIP+CRO
