cip_res,cro_res,nda_res,strategy,threshold_price,threshold_lower,threshold_upper
0.1,0,0,CIP,0.3207084859813428,-0.5297663110521474,0.8202589812511114
0.1,0,0,CIP+CRO,0.16912624127813589,-0.735680035207765,0.7142243444158568
0.1,0,0,CIP+CRO+NDA,0.16259602947037605,-0.8744875532044755,0.7184851832235459
0.1,0,0.05,CIP,0.3189037899337765,-0.5935798290079697,0.8284820962186115
0.1,0,0.05,CIP+CRO,0.12692579346313065,-0.9631267863902905,0.7268729980222948
0.1,0,0.05,CIP+CRO+NDA,0.1607103961156194,-0.8124994344618364,0.7341315934170285
0.1,0.025,0,CIP,7.498114799758397,4.298632200832271,11.304983411992444
0.1,0.025,0,CIP+CRO,7.9638673107946305,4.596476969422076,11.916755195637451
0.1,0.025,0,CIP+CRO+NDA,8.003728266196152,4.541417051512796,11.881779849855363
0.1,0.025,0.05,CIP,7.392749151560059,4.159538298424113,11.441255561312785
0.1,0.025,0.05,CIP+CRO,8.033845790233636,4.627818331001075,12.17794233459796
0.1,0.025,0.05,CIP+CRO+NDA,8.00206623547582,4.536280010257624,12.128205894075135
0.1,0.05,0,CIP,14.46608889629344,9.600881046251619,20.09092688952856
0.1,0.05,0,CIP+CRO,15.813166390396862,10.63370043504741,21.75128295722687
0.1,0.05,0,CIP+CRO+NDA,15.88611926674952,10.50160370226969,22.467489285909394
0.1,0.05,0.05,CIP,14.56804834663768,9.577826730525633,19.946871548238136
0.1,0.05,0.05,CIP+CRO,15.850728598344135,10.527663915571283,21.89460289017919
0.1,0.05,0.05,CIP+CRO+NDA,16.0123089491754,10.955176253218916,22.025391657146468
0.1,0.075,0,CIP,21.719903900605146,15.34313197661331,28.73355500620312
0.1,0.075,0,CIP+CRO,23.923855612363358,17.243759512612115,31.42064124990044
0.1,0.075,0,CIP+CRO+NDA,23.872369665950448,17.04391832532838,31.07520136437042
0.1,0.075,0.05,CIP,21.763546216095413,15.466418360069367,29.30935510696629
0.1,0.075,0.05,CIP+CRO,23.610934179293324,16.98845860400928,31.60301901869262
0.1,0.075,0.05,CIP+CRO+NDA,23.768617772425166,16.665030933627584,31.530495724942195
0.1,0.1,0,CIP,28.679213278792343,20.90476238040694,36.90849117709979
0.1,0.1,0,CIP+CRO,31.639644591724196,23.143839405381463,40.70628490925487
0.1,0.1,0,CIP+CRO+NDA,31.613196687437615,23.161119570693078,40.76745223381551
0.1,0.1,0.05,CIP,29.04872823609215,21.311568486456657,37.71238642524379
0.1,0.1,0.05,CIP+CRO,31.314167550486562,23.253216567930767,40.39016214776471
0.1,0.1,0.05,CIP+CRO+NDA,31.81306675896212,23.043127736450604,41.09996847919492
0.1,0.125,0,CIP,36.05088473940328,27.004460231681417,46.15111717828691
0.1,0.125,0,CIP+CRO,39.34437424875626,29.966819923015105,49.58946329432856
0.1,0.125,0,CIP+CRO+NDA,39.53674183755555,29.497472219013027,50.48074944868784
0.1,0.125,0.05,CIP,36.013880828302064,26.757350770304427,46.85288857146374
0.1,0.125,0.05,CIP+CRO,39.193552139811864,28.930111758924827,50.237963439880986
0.1,0.125,0.05,CIP+CRO+NDA,39.59506923914321,29.490887244806203,50.434387363699564
0.1,0.15,0,CIP,42.85636986697692,32.25609357605602,54.13357698556957
0.1,0.15,0,CIP+CRO,47.3668669053243,35.84492074311756,60.21355439725501
0.1,0.15,0,CIP+CRO+NDA,47.33686576710806,35.781064873801455,59.5075724360327
0.1,0.15,0.05,CIP,42.8299446221251,31.44099913705148,55.16895694697544
0.1,0.15,0.05,CIP+CRO,47.19702199294751,35.17971345569841,59.08104152035091
0.1,0.15,0.05,CIP+CRO+NDA,47.59706962140629,35.65028727612251,60.32108193982444
0.3,0,0,CIP,-0.40919317538275457,-1.6914128804850193,0.44335295895776805
0.3,0,0,CIP+CRO,-0.7799327809475985,-2.2361595446964593,0.11001547105186656
0.3,0,0,CIP+CRO+NDA,-0.826304622897307,-2.2927262932514996,0.08154819465110752
0.3,0,0.05,CIP,-0.41168285755954626,-1.72689246046671,0.45442123056017214
0.3,0,0.05,CIP+CRO,-0.8889207451729703,-2.40383264810924,0.08834138216894474
0.3,0,0.05,CIP+CRO+NDA,-0.7991850653631177,-2.1896558469832534,0.10006004034152188
0.3,0.025,0,CIP,5.105345877168528,2.1108820628894764,8.63106592820311
0.3,0.025,0,CIP+CRO,6.744514363573213,3.2895723667775836,10.861032765853365
0.3,0.025,0,CIP+CRO+NDA,6.824755484535087,3.239568920946542,10.812120551735193
0.3,0.025,0.05,CIP,5.1058738067171605,2.1761817087310558,8.27566000260822
0.3,0.025,0.05,CIP+CRO,6.50918329787031,3.115390116837957,10.435857479891425
0.3,0.025,0.05,CIP+CRO+NDA,6.716539580027555,3.1681347590604396,10.72122553897671
0.3,0.05,0,CIP,10.681244637950341,6.60248613662101,15.950603284390562
0.3,0.05,0,CIP+CRO,14.439423314199612,9.38981566714074,20.797519107710876
0.3,0.05,0,CIP+CRO+NDA,14.245331030397965,8.907700403264288,20.15242890855647
0.3,0.05,0.05,CIP,10.710366239874686,6.429836471148684,15.959986069678202
0.3,0.05,0.05,CIP+CRO,14.112442482268872,8.754921799165402,20.252640821087176
0.3,0.05,0.05,CIP+CRO+NDA,14.279478133313384,9.002399648271918,20.58805019917118
