group,panel,cip_res,cro_res,nda_res,scenario,threshold_price,threshold_lower,threshold_upper,strategy
MSM,cip,0.1,0,0,Delayed,0.34303498510952635,-7.084870906429935,8.437440404259009,CIP
MSM,cip+cro,0.1,0,0,Delayed,0.17849010202403173,-7.3546307177779795,8.519185112920306,CIP+CRO
MSM,cip+cro+nda,0.1,0,0,Delayed,0.1802521297121785,-7.253514595695868,8.579862949363736,CIP+CRO+NDA
MSM,cip,0.1,0.025,0,Delayed,1.0542990381859059,-7.729670557866103,10.597466240149776,CIP
MSM,cip+cro,0.1,0.025,0,Delayed,1.3758944024970727,-7.99929165498742,10.706537816153203,CIP+CRO
MSM,cip+cro+nda,0.1,0.025,0,Delayed,1.263206869385143,-7.994974965600589,11.21384977820379,CIP+CRO+NDA
MSM,cip,0.1,0.05,0,Delayed,2.3439348290213124,-8.153344727169006,13.078437617581123,CIP
MSM,cip+cro,0.1,0.05,0,Delayed,2.4424951855794808,-8.6891169258266725,13.984049181604423,CIP+CRO
MSM,cip+cro+nda,0.1,0.05,0,Delayed,2.2173251062072175,-7.8387155624066915,12.742015233863057,CIP+CRO+NDA
MSM,cip,0.1,0.075,0,Delayed,3.0860902899906018,-8.771387301852576,15.475763730268703,CIP
MSM,cip+cro,0.1,0.075,0,Delayed,3.3439835661955595,-8.580486947802685,16.04097444733733,CIP+CRO
MSM,cip+cro+nda,0.1,0.075,0,Delayed,3.4891830404340514,-9.164814526362575,16.191023978357027,CIP+CRO+NDA
MSM,cip,0.1,0.1,0,Delayed,4.100741411768091,-9.148792989779912,18.710795901126442,CIP
MSM,cip+cro,0.1,0.1,0,Delayed,4.707303321300842,-8.093120235770867,19.8855434386913,CIP+CRO
MSM,cip+cro+nda,0.1,0.1,0,Delayed,4.317260071980321,-10.107217248081412,18.761677907974715,CIP+CRO+NDA
MSM,cip,0.1,0.125,0,Delayed,5.1412813192995355,-8.740518602833577,20.513681186807787,CIP
MSM,cip+cro,0.1,0.125,0,Delayed,5.08149905445092,-11.402817263808988,20.016194624016464,CIP+CRO
MSM,cip+cro+nda,0.1,0.125,0,Delayed,5.370160244856339,-10.055856307268511,20.686934348390864,CIP+CRO+NDA
MSM,cip,0.1,0.15,0,Delayed,6.348013694063372,-10.179805535208747,25.315128083308206,CIP
MSM,cip+cro,0.1,0.15,0,Delayed,7.440081541108658,-8.79601723172729,24.436399733720418,CIP+CRO
MSM,cip+cro+nda,0.1,0.15,0,Delayed,7.692269866220409,-8.915178380047191,24.540469762686193,CIP+CRO+NDA
MSM,cip,0.3,0,0,Delayed,0.08480229922611689,-7.0619414337265045,7.593990769984589,CIP
MSM,cip+cro,0.3,0,0,Delayed,-0.07826623972226834,-7.401287598558627,8.101403341653585,CIP+CRO
MSM,cip+cro+nda,0.3,0,0,Delayed,-0.18733730988963798,-8.387229162450172,7.851263741799037,CIP+CRO+NDA
MSM,cip,0.3,0.025,0,Delayed,0.6420451210990135,-8.525052413841959,10.540565270901944,CIP
MSM,cip+cro,0.3,0.025,0,Delayed,0.8189481481889064,-8.58507383290397,11.183915846017282,CIP+CRO
MSM,cip+cro+nda,0.3,0.025,0,Delayed,1.3363661226859433,-7.330795981519875,10.94018926183087,CIP+CRO+NDA
MSM,cip,0.3,0.05,0,Delayed,1.8250108718923488,-8.747042667151002,13.185582529281733,CIP
MSM,cip+cro,0.3,0.05,0,Delayed,2.0558722909741345,-9.178441444649854,13.04023106722379,CIP+CRO
MSM,cip+cro+nda,0.3,0.05,0,Delayed,2.0599639682834225,-8.472516105845818,13.776935376964687,CIP+CRO+NDA
MSM,cip,0.3,0.075,0,Delayed,2.1893831478756307,-10.416854286140465,13.8985430767887,CIP
MSM,cip+cro,0.3,0.075,0,Delayed,2.9170951092509556,-9.303748112117676,16.02560491169563,CIP+CRO
MSM,cip+cro+nda,0.3,0.075,0,Delayed,2.6839813808766984,-9.44786774943529,14.477078883958145,CIP+CRO+NDA
MSM,cip,0.3,0.1,0,Delayed,3.3315596553341993,-9.789344885591426,18.038167935450293,CIP
MSM,cip+cro,0.3,0.1,0,Delayed,4.1346133994798935,-9.721569562512395,18.55467872043459,CIP+CRO
MSM,cip+cro+nda,0.3,0.1,0,Delayed,4.501852139055222,-8.935351563137447,19.04056206490473,CIP+CRO+NDA
MSM,cip,0.3,0.125,0,Delayed,4.039934136389168,-10.803599080993774,20.749470253298092,CIP
MSM,cip+cro,0.3,0.125,0,Delayed,4.97555368021725,-9.694347486964563,20.53343558111817,CIP+CRO
MSM,cip+cro+nda,0.3,0.125,0,Delayed,4.6376971657454185,-9.778238743600909,19.11906067556025,CIP+CRO+NDA
MSM,cip,0.3,0.15,0,Delayed,4.792045419218076,-11.210382899342076,21.903804700164095,CIP
MSM,cip+cro,0.3,0.15,0,Delayed,5.728162644389742,-10.942173462368308,23.184487664628005,CIP+CRO
MSM,cip+cro+nda,0.3,0.15,0,Delayed,5.967351778000989,-10.393948906971303,24.18897390022857,CIP+CRO+NDA
MSM,cip,0.5,0,0,Delayed,-0.048130517347502406,-8.443653066923996,8.077425539358604,CIP
MSM,cip+cro,0.5,0,0,Delayed,-0.14864456599990167,-7.311839818901854,7.792321757408825,CIP+CRO
MSM,cip+cro+nda,0.5,0,0,Delayed,-0.4478806593606959,-7.831657551296338,6.639117035914392,CIP+CRO+NDA
MSM,cip,0.5,0.025,0,Delayed,0.3891963446096514,-8.960484259965286,9.527214042277532,CIP
MSM,cip+cro,0.5,0.025,0,Delayed,0.7992762779178032,-8.283150694377394,10.358774702864473,CIP+CRO
MSM,cip+cro+nda,0.5,0.025,0,Delayed,0.7163634373640014,-8.626421374443929,10.650429231401805,CIP+CRO+NDA
MSM,cip,0.5,0.05,0,Delayed,1.1268594799897211,-8.46091949160735,12.775439850161067,CIP
MSM,cip+cro,0.5,0.05,0,Delayed,1.3524426323440881,-9.528544814832648,13.642630861866206,CIP+CRO
MSM,cip+cro+nda,0.5,0.05,0,Delayed,1.441761791294397,-8.866289273393074,12.657931790870192,CIP+CRO+NDA
MSM,cip,0.5,0.075,0,Delayed,1.4402926684733204,-10.654848062818813,14.523466226961727,CIP
MSM,cip+cro,0.5,0.075,0,Delayed,2.2074141757526546,-9.788047616665686,15.701335070112155,CIP+CRO
MSM,cip+cro+nda,0.5,0.075,0,Delayed,2.5138949500873005,-8.967497008926824,14.50778962010435,CIP+CRO+NDA
MSM,cip,0.5,0.1,0,Delayed,2.1597640204581605,-11.41384573206863,15.684953626108978,CIP
MSM,cip+cro,0.5,0.1,0,Delayed,3.5803963389374744,-10.000303720703094,17.956739783568707,CIP+CRO
MSM,cip+cro+nda,0.5,0.1,0,Delayed,3.666028310953649,-9.28265170410494,18.053073740379034,CIP+CRO+NDA
MSM,cip,0.5,0.125,0,Delayed,2.7795383139605714,-11.933553458144532,18.20860564731311,CIP
MSM,cip+cro,0.5,0.125,0,Delayed,4.257357882686758,-9.923664275416714,18.764729043843314,CIP+CRO
MSM,cip+cro+nda,0.5,0.125,0,Delayed,4.245845787629052,-10.89057315757321,19.558168056770725,CIP+CRO+NDA
MSM,cip,0.5,0.15,0,Delayed,3.1703152034830877,-12.98960626931946,20.038871213837307,CIP
MSM,cip+cro,0.5,0.15,0,Delayed,5.176137962863749,-11.159728991770653,23.344731251730643,CIP+CRO
MSM,cip+cro+nda,0.5,0.15,0,Delayed,5.511223427830989,-10.81075454222843,22.871723568355918,CIP+CRO+NDA
MSM,cip,0.7,0,0,Delayed,-0.1428437897849688,-7.528194343361741,7.495097806761023,CIP
MSM,cip+cro,0.7,0,0,Delayed,-0.5190873453416743,-8.049999965559797,6.965340043364393,CIP+CRO
MSM,cip+cro+nda,0.7,0,0,Delayed,-0.3243711077738917,-7.6442031368843395,7.870401335182089,CIP+CRO+NDA
MSM,cip,0.7,0.025,0,Delayed,0.1530326784919715,-8.659845957497971,9.679577874441483,CIP
MSM,cip+cro,0.7,0.025,0,Delayed,0.3272100455911646,-8.851620163332598,10.70896847504547,CIP+CRO
MSM,cip+cro+nda,0.7,0.025,0,Delayed,0.30587477249258943,-8.65343573953467,9.704616907979906,CIP+CRO+NDA
MSM,cip,0.7,0.05,0,Delayed,0.5421161727811113,-9.597079451910446,11.902845418099405,CIP
MSM,cip+cro,0.7,0.05,0,Delayed,1.1287865436298565,-9.367041859477657,12.027287639210494,CIP+CRO
MSM,cip+cro+nda,0.7,0.05,0,Delayed,1.4086340095154701,-9.430671713772336,12.421999884474952,CIP+CRO+NDA
MSM,cip,0.7,0.075,0,Delayed,0.6828198986327909,-11.911254420480146,14.385031129899673,CIP
MSM,cip+cro,0.7,0.075,0,Delayed,2.0294919040822013,-10.64970520458718,14.735189251590596,CIP+CRO
MSM,cip+cro+nda,0.7,0.075,0,Delayed,1.826444448770449,-9.528910072964115,14.795270594024096,CIP+CRO+NDA
MSM,cip,0.7,0.1,0,Delayed,1.2254823150318672,-12.455570424777733,15.731591692271582,CIP
MSM,cip+cro,0.7,0.1,0,Delayed,2.694624617414813,-11.31977146184863,16.92854527643924,CIP+CRO
MSM,cip+cro+nda,0.7,0.1,0,Delayed,2.7178126550209916,-11.07153081539008,17.258413063059795,CIP+CRO+NDA
MSM,cip,0.7,0.125,0,Delayed,2.2574975128049055,-12.297231694268904,17.68267777268532,CIP
MSM,cip+cro,0.7,0.125,0,Delayed,3.891198017135638,-10.267939524215562,18.788190879940252,CIP+CRO
MSM,cip+cro+nda,0.7,0.125,0,Delayed,3.559475657922316,-10.401141491491225,19.820258514088632,CIP+CRO+NDA
MSM,cip,0.7,0.15,0,Delayed,1.4917573253153276,-13.377783178998179,18.950429174243865,CIP
MSM,cip+cro,0.7,0.15,0,Delayed,4.185563305554619,-11.081131069008071,19.930851031478237,CIP+CRO
MSM,cip+cro+nda,0.7,0.15,0,Delayed,4.398534869658735,-10.772350024878836,21.912810505509363,CIP+CRO+NDA
MSW,cip,0.1,0,0,Delayed,-2.223961908646947,-141.72121821958902,138.8966417785163,CIP
MSW,cip+cro,0.1,0,0,Delayed,2.0325735178172164,-129.31432239817403,147.43716565669777,CIP+CRO
MSW,cip+cro+nda,0.1,0,0,Delayed,-0.509345794716032,-146.95817954490064,137.66566902351707,CIP+CRO+NDA
MSW,cip,0.1,0.025,0,Delayed,0.7045843082892914,-133.7242963794229,152.22283794102964,CIP
MSW,cip+cro,0.1,0.025,0,Delayed,1.2780969857881423,-143.19020228857553,139.11033768808238,CIP+CRO
MSW,cip+cro+nda,0.1,0.025,0,Delayed,-0.1828400130772601,-143.40541435252248,133.21177103404676,CIP+CRO+NDA
MSW,cip,0.1,0.05,0,Delayed,4.705903071370814,-134.75776193821832,140.45974193051552,CIP
MSW,cip+cro,0.1,0.05,0,Delayed,2.633627496870055,-130.58914422988047,161.31780254734076,CIP+CRO
MSW,cip+cro+nda,0.1,0.05,0,Delayed,-2.1198375284234188,-141.7002427950346,127.67732612786664,CIP+CRO+NDA
MSW,cip,0.1,0.075,0,Delayed,-0.37387042045584534,-141.50061577320866,143.5941423515255,CIP
MSW,cip+cro,0.1,0.075,0,Delayed,6.952814722249967,-131.45616542544772,152.37655965288815,CIP+CRO
MSW,cip+cro+nda,0.1,0.075,0,Delayed,-1.9542231947753246,-163.42526542926842,150.47525649878332,CIP+CRO+NDA
MSW,cip,0.1,0.1,0,Delayed,3.5421963771904217,-140.31076842482935,143.45213683321464,CIP
MSW,cip+cro,0.1,0.1,0,Delayed,6.148765083759793,-125.69101710216869,134.27819799063383,CIP+CRO
MSW,cip+cro+nda,0.1,0.1,0,Delayed,4.735805206235765,-140.1374795570113,145.33818245291363,CIP+CRO+NDA
MSW,cip,0.1,0.125,0,Delayed,6.222000331061926,-127.35768761673106,144.2092575149974,CIP
MSW,cip+cro,0.1,0.125,0,Delayed,4.647375900017485,-138.36035890066813,155.45239807551621,CIP+CRO
MSW,cip+cro+nda,0.1,0.125,0,Delayed,3.5010857049789834,-132.35632011933467,153.01568530084856,CIP+CRO+NDA
MSW,cip,0.1,0.15,0,Delayed,4.33126594016397,-136.91583578272096,139.92167072311605,CIP
MSW,cip+cro,0.1,0.15,0,Delayed,3.9124764295847885,-140.651227764608,141.49251895164056,CIP+CRO
MSW,cip+cro+nda,0.1,0.15,0,Delayed,6.53684907705383,-141.91000208927923,151.19191556289255,CIP+CRO+NDA
MSW,cip,0.3,0,0,Delayed,-0.33696026366152615,-141.00511361335748,136.83871294349677,CIP
MSW,cip+cro,0.3,0,0,Delayed,3.5970735311120556,-129.4550760052726,140.0354806295068,CIP+CRO
MSW,cip+cro+nda,0.3,0,0,Delayed,-0.5485410235683305,-134.07770587326428,141.95303132315806,CIP+CRO+NDA
MSW,cip,0.3,0.025,0,Delayed,2.681634787858102,-133.31987311910115,155.29300376986444,CIP
MSW,cip+cro,0.3,0.025,0,Delayed,-2.02777503449901,-135.6618666393379,134.634898893044,CIP+CRO
MSW,cip+cro+nda,0.3,0.025,0,Delayed,-0.25536165501055713,-143.65816800993457,137.50834651425515,CIP+CRO+NDA
MSW,cip,0.3,0.05,0,Delayed,-0.11224344018985637,-140.8616665059021,151.91490877445193,CIP
MSW,cip+cro,0.3,0.05,0,Delayed,-1.6166668066277137,-140.30993201315982,136.27623140165286,CIP+CRO
MSW,cip+cro+nda,0.3,0.05,0,Delayed,2.7659838686114115,-146.59926592659653,147.52559944879536,CIP+CRO+NDA
MSW,cip,0.3,0.075,0,Delayed,2.361308561087699,-129.92778221194695,140.44333130484796,CIP
MSW,cip+cro,0.3,0.075,0,Delayed,5.108977708628907,-130.14864370709165,149.6169989860537,CIP+CRO
MSW,cip+cro+nda,0.3,0.075,0,Delayed,2.9776066422504663,-128.3013710741688,142.41602280137465,CIP+CRO+NDA
MSW,cip,0.3,0.1,0,Delayed,1.450493319314458,-139.55070031645056,144.3910308503446,CIP
MSW,cip+cro,0.3,0.1,0,Delayed,-0.9404346195960859,-143.84052832134216,128.14760180997888,CIP+CRO
MSW,cip+cro+nda,0.3,0.1,0,Delayed,1.8902747148144514,-139.18681858890972,146.52365712072276,CIP+CRO+NDA
MSW,cip,0.3,0.125,0,Delayed,1.5163843017012009,-142.93126267200205,142.44742349822045,CIP
MSW,cip+cro,0.3,0.125,0,Delayed,3.706765088670559,-145.00437058886217,151.44703820148348,CIP+CRO
MSW,cip+cro+nda,0.3,0.125,0,Delayed,-0.7534827629886562,-149.343198136097,134.15477239598846,CIP+CRO+NDA
MSW,cip,0.3,0.15,0,Delayed,3.326270650190094,-134.35740391461084,154.76901206484044,CIP
MSW,cip+cro,0.3,0.15,0,Delayed,1.692131878842427,-140.55660880934897,156.1464748280341,CIP+CRO
MSW,cip+cro+nda,0.3,0.15,0,Delayed,1.8333876770108952,-149.00002693644927,156.36788162133402,CIP+CRO+NDA
MSW,cip,0.5,0,0,Delayed,4.171992118532842,-135.7477052116897,152.09338044002376,CIP
MSW,cip+cro,0.5,0,0,Delayed,-2.6498030236176837,-145.71227999433907,132.9121431429593,CIP+CRO
MSW,cip+cro+nda,0.5,0,0,Delayed,2.6066631241617366,-132.16768150457898,138.0150475610525,CIP+CRO+NDA
MSW,cip,0.5,0.025,0,Delayed,1.5158361759049386,-145.11915228113736,138.85656519238213,CIP
MSW,cip+cro,0.5,0.025,0,Delayed,1.5104333166527493,-137.21652853306404,144.021801684476,CIP+CRO
MSW,cip+cro+nda,0.5,0.025,0,Delayed,-1.7544593857897524,-140.66805928963683,121.311210592239,CIP+CRO+NDA
MSW,cip,0.5,0.05,0,Delayed,1.8503685368678109,-140.70202296112234,140.58568311871775,CIP
MSW,cip+cro,0.5,0.05,0,Delayed,1.4575118619819885,-147.4720323454772,151.38721048022472,CIP+CRO
MSW,cip+cro+nda,0.5,0.05,0,Delayed,3.1570787464648236,-138.80871262895838,151.93318946840455,CIP+CRO+NDA
MSW,cip,0.5,0.075,0,Delayed,1.803257447330418,-137.30945677094383,134.76179764366657,CIP
MSW,cip+cro,0.5,0.075,0,Delayed,4.376079768746401,-138.3335946087274,161.133934051088,CIP+CRO
MSW,cip+cro+nda,0.5,0.075,0,Delayed,3.5671516467080977,-135.59643721032603,145.08405285148254,CIP+CRO+NDA
MSW,cip,0.5,0.1,0,Delayed,2.0070000205672955,-144.07680680911167,138.21581889232212,CIP
MSW,cip+cro,0.5,0.1,0,Delayed,2.016146995428764,-133.2997596102192,150.22839274045864,CIP+CRO
MSW,cip+cro+nda,0.5,0.1,0,Delayed,1.13225417862179,-151.74854148868033,144.4575127072079,CIP+CRO+NDA
MSW,cip,0.5,0.125,0,Delayed,-1.375508353574875,-136.19099232195123,137.99398965456695,CIP
MSW,cip+cro,0.5,0.125,0,Delayed,0.7409808144632218,-154.594276441666,150.10421946159485,CIP+CRO
MSW,cip+cro+nda,0.5,0.125,0,Delayed,3.751627484188116,-133.42176265324449,148.51775210736523,CIP+CRO+NDA
MSW,cip,0.5,0.15,0,Delayed,0.38349916823311214,-149.4558210107227,140.6305249449363,CIP
